new,price,refurbished,title,day,id
Nuevo,9705.0,,Reacondicionado  Macbook Pro 13 De 8 Gb De Ram De 1 Tb,24/12/2023,1161383078
Nuevo,6914.0,,"Reacondicionado Macbook Pro 13 Pulgadas, 16gb Ram, 512gb Ssd",24/12/2023,2308987007
Nuevo,8951.0,,Reacondicionado Macbook Pro De 13 Gb De Ram 512 Ssd,24/12/2023,6211557168
Nuevo,3951.0,,Reacondicionado  Macbook Pro De 13 Gb De Ram 500 Hdd ,24/12/2023,7536964935
Nuevo,4169.0,,"Reacondicionado Macbook Pro 13, 8 Gb De Ram, 500 Gb, Hdd",24/12/2023,9173387744
Nuevo,4692.0,,"Reacondicionado Macbook Pro 13 Pulgadas, 16gb Ram, 128gb Ssd",24/12/2023,465824240
Nuevo,6667.0,,Reacondicionado Macbook Pro 13 De 4 Gb De Ram Y Ssd De 2 Tb,24/12/2023,6078532751
Nuevo,3291.0,,Reacondicionado Macbook Air De 4 Gb De Ram 128 Ssd ,24/12/2023,8784690702
Nuevo  |  +5 vendidos,4328.0,,"Macbook Pro De 13 Pulgadas, 16 Gb De Ram, 500 Gb De Disco Du",24/12/2023,5074329191
,6999.0,Reacondicionado,Macbook Pro 2011 Con Una Extension De Memoria De 16g (Reacondicionado),24/12/2023,1599366849
Nuevo,5650.0,,Reacondicionado Macbook Pro De 13 Gb De 8 Gb De Ram 128 Ssd,24/12/2023,252472110
Nuevo,68500.0,,Macbook Pro 16 I9 2.3ghz Radeon Pro 5300m 16gb 1tb Esp,24/12/2023,5665895974
Nuevo  |  2 vendidos,7902.0,,"Reaconciados Macbook Pro 13 Pulgadas, 16 Gb Ram, 512gb Ssd",24/12/2023,1380988596
Nuevo,65000.0,,Laptop Macbook Pro,24/12/2023,8802386578
Nuevo  |  1 vendido,3544.0,,Reacondicionado  Macbook Pro 13 De 4 Gb De Ram Y 500 Gb Hdd,24/12/2023,6026981126
Usado,13499.0,,"Macbook Pro A1989 (2019) Gris 13.3 , Intel I5 8gb 256gb Ssd",24/12/2023,8004438527
,10000.0,Reacondicionado,Macbook Pro 2012 (Reacondicionado),24/12/2023,8525222759
,5000.0,Reacondicionado,Macbook Pro 2011 Actualizada A Macos Ventura; 8 Ram Y 256gb (Reacondicionado),24/12/2023,7212067219
,25999.0,Reacondicionado,Apple Macbook Pro 16 Core I7 512gb Ssd 16gb Ram Radeon Pro  (Reacondicionado),24/12/2023,1867425654
,8549.0,Reacondicionado,Macbook Pro 15 Mid 2012 500gb-hdd 8gb I7 (Reacondicionado),24/12/2023,2119499658
Nuevo,28000.0,,Macbook Pro 13 (2020) Touch Bar 1.4ghz Quad-core 8th-gen Co ,24/12/2023,9777962939
,5794.0,Reacondicionado,Macbook Pro 13 Finales 2011 250gb-hdd 4gb Core I7 (Reacondicionado),24/12/2023,9759039790
,19999.0,Reacondicionado,"Apple Macbook Pro 16 Intel Core I7, 512 Gb Ssd 16 Gb Ram (Reacondicionado)",24/12/2023,3523672453
,5224.0,Reacondicionado,Macbook Pro 13principios 2011 512gb-ssd 4gb Core I5 (Reacondicionado),24/12/2023,7708599335
,12900.0,Reacondicionado,Macboock Pro Apple Retina 2015 (Reacondicionado),24/12/2023,8606735608
,9974.0,Reacondicionado,Macbook Pro 15 Retina Mid 2014 1tb-ssd 16gb I7 (Reacondicionado),24/12/2023,886784256
,29998.0,Reacondicionado, Apple Macbook Pro 2019 Core I7 16gb Ram 256 Ssd 2.6ghz 15.4 (Reacondicionado),24/12/2023,492649308
,999.0,Reacondicionado,Macbook A1278 Late 2008 Venta Partes Pregunta X Refacciones (Reacondicionado),24/12/2023,7656909547
